Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676145741.6988354,315,72141,600000000,GPS1_Frame,42.337114963333335,-71.09046516333333,6.042,1.0,327785.8262957034,4689323.192557059,72141,600000000,19,T,5
1676145742.6983347,316,72142,600000000,GPS1_Frame,42.337114915,-71.09046511333334,6.047,1.0,327785.8302829738,4689323.187088744,72142,600000000,19,T,5
1676145743.6945627,317,72143,600000000,GPS1_Frame,42.33711488,-71.090465085,6.058,1.0,327785.8325216514,4689323.183144877,72143,600000000,19,T,5
1676145744.6947935,318,72144,600000000,GPS1_Frame,42.33711483,-71.09046509666666,6.065,1.0,327785.8314240093,4689323.177616386,72144,600000000,19,T,5
1676145745.6938002,319,72145,600000000,GPS1_Frame,42.337114813333336,-71.09046505166667,6.073,1.0,327785.83508580434,4689323.175674542,72145,600000000,19,T,5
1676145746.695653,320,72146,600000000,GPS1_Frame,42.33711483333333,-71.090464985,6.067,1.0,327785.8406326837,4689323.177760366,72146,600000000,19,T,5
1676145747.6989384,321,72147,600000000,GPS1_Frame,42.33711482,-71.09046490666667,6.069,1.0,327785.84704971744,4689323.176121154,72147,600000000,19,T,5
1676145748.695014,322,72148,600000000,GPS1_Frame,42.33711484333333,-71.09046482333333,6.057,1.0,327785.85397876694,4689323.178543367,72148,600000000,19,T,5
1676145749.696688,323,72149,600000000,GPS1_Frame,42.33711488833333,-71.09046473666666,6.042,1.0,327785.86124157807,4689323.183364748,72149,600000000,19,T,5
1676145750.695731,324,72150,600000000,GPS1_Frame,42.337114875,-71.09046462833334,6.036,1.0,327785.87013013783,4689323.181664776,72150,600000000,19,T,5
1676145751.696104,325,72151,600000000,GPS1_Frame,42.33711490333334,-71.09046452333334,6.016,1.0,327785.87885783124,4689323.184598319,72151,600000000,19,T,5
1676145752.6941743,326,72152,600000000,GPS1_Frame,42.337114928333335,-71.09046440666667,6.012,1.0,327785.8885375718,4689323.187138094,72152,600000000,19,T,5
1676145753.6947196,327,72153,600000000,GPS1_Frame,42.337114971666665,-71.09046436333334,6.006,1.0,327785.8922258456,4689323.191862167,72153,600000000,19,T,5
1676145754.6938443,328,72154,600000000,GPS1_Frame,42.33711500166667,-71.09046426666667,5.994,1.0,327785.90027155133,4689323.194997661,72154,600000000,19,T,5
1676145755.6954489,329,72155,600000000,GPS1_Frame,42.337115065,-71.0904641,5.968,1.0,327785.9141751472,4689323.2016927935,72155,600000000,19,T,5
1676145756.6915612,330,72156,600000000,GPS1_Frame,42.33711510166667,-71.09046398666666,5.973,1.0,327785.9236121224,4689323.205534815,72156,600000000,19,T,5
1676145757.69273,331,72157,600000000,GPS1_Frame,42.337115088333334,-71.09046381833333,5.961,1.0,327785.9374437384,4689323.203713321,72157,600000000,19,T,5
1676145758.6967318,332,72158,600000000,GPS1_Frame,42.33711516333334,-71.09046364166667,5.948,1.0,327785.9522030264,4689323.211683698,72158,600000000,19,T,5
1676145759.6967165,333,72159,600000000,GPS1_Frame,42.33711522,-71.09046346166667,5.919,1.0,327785.96718688076,4689323.217611546,72159,600000000,19,T,5
1676145760.6969292,334,72160,600000000,GPS1_Frame,42.33711527333333,-71.09046329,5.889,1.0,327785.9814750984,4689323.223186128,72160,600000000,19,T,5
1676145761.6972387,335,72161,600000000,GPS1_Frame,42.33711528833334,-71.09046321333334,5.859,1.0,327785.9878321726,4689323.224696491,72161,600000000,19,T,5
1676145762.6977837,336,72162,600000000,GPS1_Frame,42.337115303333334,-71.09046313,5.843,1.0,327785.99473847344,4689323.226193351,72162,600000000,19,T,5
1676145763.693166,337,72163,600000000,GPS1_Frame,42.337115358333335,-71.09046301833334,5.833,1.0,327786.00408818654,4689323.232074523,72163,600000000,19,T,5
1676145764.6939306,338,72164,600000000,GPS1_Frame,42.33711539833333,-71.09046295166667,5.818,1.1,327786.0096896644,4689323.236381198,72164,600000000,19,T,5
1676145765.6918826,339,72165,600000000,GPS1_Frame,42.337115475,-71.09046279666667,5.811,1.1,327786.02266850707,4689323.244580527,72165,600000000,19,T,5
1676145766.6914115,340,72166,600000000,GPS1_Frame,42.33711549666667,-71.090462755,5.78,1.1,327786.02616033005,4689323.246902056,72166,600000000,19,T,5
1676145767.6930592,341,72167,600000000,GPS1_Frame,42.33711551166667,-71.090462755,5.774,1.1,327786.0262012774,4689323.248567694,72167,600000000,19,T,5
1676145768.6924083,342,72168,600000000,GPS1_Frame,42.337115573333335,-71.09046276166667,5.759,1.0,327786.0258203879,4689323.255428809,72168,600000000,19,T,5
1676145769.6950905,343,72169,600000000,GPS1_Frame,42.33711563333333,-71.090462815,5.744,1.0,327786.0215903519,4689323.262199368,72169,600000000,19,T,5
